Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
"141. The Daughter: I, a Woman Part III",1970,1h 23m,X,4.4,164,,"Siv loves sex, while her 17-year-old daughter Birthe is frigid. Soon, however, Birthe's sexuality is awakened. The film focuses on the gap between the generations - heavily influenced by 1960s youth rebellion.",https://www.imdb.com/title/tt0065363/?ref_=sr_i_141,"['Gunbritt Öhrström', 'Inger Sundh', 'Klaus Pagh']",Mac Ahlberg,"['Gunbritt Öhrström', 'Inger Sundh', 'Klaus Pagh', 'Tom Scott', 'Ellen Faison', 'Søren Strømberg', 'Bent Warburg', 'Helli Louise', 'Susanne Jagd', 'Tove Maës']",,,,"$236,203","February 9, 1970",['Denmark'],,['Novaris Film'],,['Drama'],"['Danish', 'English']"
142. When Women Had Tails,1970,1h 45m,R,3.8,714,,"Seven orphan cavemen grow up on a little island all by themselves. After a fire burns all vegetation they set out to find a new place to live. One day they trap a strange animal who looks very similar to them, only softer with longer hair.",https://www.imdb.com/title/tt0066268/?ref_=sr_i_142,"['Lina Wertmüller', 'Pasquale Festa Campanile', 'Marcello Coscia']",Pasquale Festa Campanile,"['Giuliano Gemma', 'Senta Berger', 'Frank Wolff', 'Renzo Montagnani', 'Lino Toffolo', 'Francesco Mulè', 'Aldo Giuffrè', 'Paola Borboni', 'Lando Buzzanca', 'Gabriella Giorgelli']",,,,,"October 15, 1970",['Italy'],,['Clesi Cinematografica'],,"['Comedy', 'Fantasy', 'Sci-Fi']",['Italian']
"143. Run, Virgin, Run",1970,1h 35m,R,4.3,236,,"Legend has it that a brisk wind called the ""Faun"" delivers vigor to the men of Falklenhousen - accounting for the town's satisfied wives and high birth rate. Truth is, when the men are away, their voluptuous wives play!",https://www.imdb.com/title/tt0065925/?ref_=sr_i_143,"['Joav Jasinski', 'Maria Brockerhoff', 'Helga Tölle']",Hans Billian,"['Joav Jasinski', 'Maria Brockerhoff', 'Helga Tölle', 'Michaela Martin', 'Regina Walther', 'Ingrid Simon', 'Christine Kuon', 'Karin Glier', 'Astrid Boner', 'Kurt Großkurth']",,,,,"March 13, 2017",['West Germany'],,['Romano Film'],,['Comedy'],"['English', 'German']"
144. The Confession,1970,2h 19m,GP,7.8,5K,,A high-ranking official is forced to confess to high treason.,https://www.imdb.com/title/tt0065439/?ref_=sr_i_144,"['Lise London', 'Artur London', 'Jorge Semprún']",Costa-Gavras,"['Yves Montand', 'Simone Signoret', 'Gabriele Ferzetti', 'Michel Vitold', 'Jean Bouise', 'László Szabó', 'Monique Chaumette', 'Guy Mairesse', 'Marc Eyraud', 'Gérard Darrieu']",,,,"$329,954","December 9, 1970","['France', 'Italy']","Grand Place, Arras, Pas-de-Calais, France","['Les Films Corona', 'Les Films Pomereu', 'Produzione Intercontinentale Cinematografica (PIC)']",3 wins & 3 nominations total,"['Drama', 'Thriller']","['French', 'Spanish']"
"145. Count Yorga, Vampire",1970,1h 33m,PG-13,5.7,3.2K,,"A couple invites a Count from Hungary, who recently immigrated to America, to conduct a seance for the woman's recently deceased mother, oblivious to the fact that he is actually a vampire.",https://www.imdb.com/title/tt0066952/?ref_=sr_i_145,"['Robert Quarry', 'Roger Perry', 'Michael Murphy']",Bob Kelljan,"['Robert Quarry', 'Roger Perry', 'Michael Murphy', 'Michael Macready', 'Donna Anderson', 'Judy Lang', 'Edward Walsh', 'Julie Conners', 'Paul Hansen', 'Sybil Scotford']","$64,000 (estimated)",,,,"June 12, 1970",['United States'],"Los Angeles, California, USA",['Erica Productions Inc.'],,"['Vampire Horror', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']",['English']
146. The Executioner,1970,1h 47m,GP,6.0,533,,A British Intelligence Agent must track down a fellow spy suspected of being a double agent.,https://www.imdb.com/title/tt0065711/?ref_=sr_i_146,"['George Peppard', 'Joan Collins', 'Judy Geeson']",Sam Wanamaker,"['George Peppard', 'Joan Collins', 'Judy Geeson', 'Oscar Homolka', 'Charles Gray', 'Nigel Patrick', 'Keith Michell', 'George Baker', 'Alexander Scourby', 'Peter Bull']",,,,,"May 1, 1970",['United Kingdom'],"Corfu, Greece",['Ameran Films'],,"['Drama', 'Thriller']",['English']
147. The Liberation of L.B. Jones,1970,1h 42m,R,6.8,1.2K,,"A successful African American businessman has a quarrel with a white policeman, suspecting that he is having an affair with his wife. The policeman's colleagues are seeking to avoid publicity.",https://www.imdb.com/title/tt0065979/?ref_=sr_i_147,"['Stirling Silliphant', 'Jesse Hill Ford']",William Wyler,"['Lee J. Cobb', 'Anthony Zerbe', 'Roscoe Lee Browne', 'Lola Falana', 'Lee Majors', 'Barbara Hershey', 'Yaphet Kotto', 'Arch Johnson', 'Chill Wills', 'Zara Cully']","$3,500,000 (estimated)",,,,"June 25, 1970",['United States'],"Humboldt, Tennessee, USA",['Liberation Company'],1 nomination total,"['Crime', 'Drama', 'Romance']",['English']
148. Mark of the Witch,1970,1h 18m,GP,4.6,627,,A 300-year-old witch terrorizes a college town to get revenge on the descendant of the man who persecuted her.,https://www.imdb.com/title/tt0066058/?ref_=sr_i_148,"['Robert Elston', 'Anitra Walsh', 'Darryl Wells']",Tom Moore,"['Robert Elston', 'Anitra Walsh', 'Darryl Wells', 'Jack Gardner', 'Barbara Brownell', 'Marie Santell', 'Jim Beshears', 'Gary Brockette', 'Lyn Carmony', 'Carla Coldwell']",,,,,"July 17, 1975",['United States'],"Southern Methodist University, Dallas, Texas, USA","['Lone Star Productions (II)', 'Presidio']",,['Horror'],['English']
149. Trog,1970,1h 33m,GP,4.0,3.3K,,A sympathetic anthropologist uses drugs and surgery to try to communicate with a primitive troglodyte who is found living in a local cave.,https://www.imdb.com/title/tt0066492/?ref_=sr_i_149,"['Joan Crawford', 'Michael Gough', 'Bernard Kay']",Freddie Francis,"['Joan Crawford', 'Michael Gough', 'Bernard Kay', 'Kim Braden', 'David Griffin', 'John Hamill', 'Thorley Walters', 'Jack May', 'Geoffrey Case', 'Robert Hutton']",,,,,"October 26, 1970",['United Kingdom'],"Elizabeth House, Station Hill, Cookham Rise, Berkshire, England, UK",['Herman Cohen Productions'],,"['Horror', 'Sci-Fi']",['English']
150. The Most Beautiful Wife,1970,1h 48m,,7.1,1.1K,,"A young poor girl receives a marriage proposal from a mafia novice. She's going to refuse, but he's going to insist - at all cost.",https://www.imdb.com/title/tt0232114/?ref_=sr_i_150,"['Damiano Damiani', 'Sofia Scandurra', 'Enrico Ribulsi']",Damiano Damiani,"['Alessio Orano', 'Ornella Muti', 'Tano Cimarosa', 'Joe Sentieri', 'Enzo Andronico', 'Amerigo Tot', 'Pierluigi Aprà', 'Salvatore Baccaro', 'Sandro Arlotta', 'Diego Morreale']",,,,,"March 12, 1970",['Italy'],"Cinisi, Palermo, Sicily, Italy","['Produzioni Atlas Consorziate (P.A.C.)', ""Explorer Film '58"", 'Rewind Film']",1 win total,"['Crime', 'Drama']",['Italian']
151. Darling Lili,1970,2h 16m,G,6.0,2.5K,,"Set during World War I, this movie is a cute spin on the Mata Hari legend.",https://www.imdb.com/title/tt0065611/?ref_=sr_i_151,"['Julie Andrews', 'Rock Hudson', 'Jeremy Kemp']",Blake Edwards,"['Julie Andrews', 'Rock Hudson', 'Jeremy Kemp', 'Lance Percival', 'Michael Witney', 'Gloria Paul', 'Jacques Marin', 'André Maranne', 'Bernard Kay', 'Doreen Keogh']","$25,000,000 (estimated)",,,,"June 24, 1970",['United States'],"Dublin, County Dublin, Ireland",['Geoffrey Productions'],1 win & 7 nominations total,"['Romantic Comedy', 'Comedy', 'Drama', 'Musical', 'Romance', 'War']","['English', 'German']"
152. The Man Who Haunted Himself,1970,1h 34m,PG,6.4,3K,,Harold Pelham discovers a doppelganger is meddling with his personal and professional life in the aftermath of a car crash.,https://www.imdb.com/title/tt0066053/?ref_=sr_i_152,"['Anthony Armstrong', 'Basil Dearden', 'Michael Relph']",Basil Dearden,"['Roger Moore', 'Hildegard Neil', 'Alastair Mackenzie', 'Hugh Mackenzie', 'Kevork Malikyan', 'Thorley Walters', 'Anton Rodgers', 'Olga Georges-Picot', 'Freddie Jones', 'John Welsh']","£400,000 (estimated)",,,,"September 2, 1971",['United Kingdom'],"Fairholt, Hadley Green Road, Barnet, Hertfordshire, England, UK","['EMI Films', 'Associated British Productions (ABP)', 'Excalibur Films']",,"['Drama', 'Mystery', 'Thriller']",['English']
153. Quackser Fortune Has a Cousin in the Bronx,1970,1h 30m,PG,6.4,760,,"In Dublin, a working class family has been unsuccessful in convincing their son to get a real job: the son prefers his job of scooping up horse's dung and selling it for flower gardens. An American exchange student almost runs him over and gets to know him. The dung man has ignored warnings from his family and suddenly the horses have been banned from Dublin. His new love is leaving for America and he must find a way to cope with the new reality.",https://www.imdb.com/title/tt0066266/?ref_=sr_i_153,"['Gene Wilder', 'Margot Kidder', 'Eileen Colgan']",Waris Hussein,"['Gene Wilder', 'Margot Kidder', 'Eileen Colgan', 'May Ollis', 'Seamus Forde', 'David Kelly', 'Danny Cummins', 'Liz Davis', 'Tony Doyle', 'Caroline Tully']",,,,"$140,985","June 9, 1972",['Ireland'],"Ha'penny Bridge, Dublin, County Dublin, Ireland",['Universal Marion Corporation (UMC)'],1 nomination total,"['Comedy', 'Drama', 'Romance']",['English']
154. Carry on Loving,1970,1h 28m,,5.9,2.7K,,"Dating agency owner Sidney faces challenges pairing unconventional clients, causing romantic turmoil in a quaint town. Personal entanglements arise as peculiar matches ignite jealousies and conflicts within the local romantic landscape.",https://www.imdb.com/title/tt0065524/?ref_=sr_i_154,"['Sidney James', 'Kenneth Williams', 'Charles Hawtrey']",Gerald Thomas,"['Sidney James', 'Kenneth Williams', 'Charles Hawtrey', 'Joan Sims', 'Hattie Jacques', 'Terry Scott', ""Richard O'Callaghan"", 'Bernard Bresslaw', 'Jacki Piper', 'Imogen Hassall']",,,,,"November 20, 1970",['United Kingdom'],"Artherton Court, Meadow Lane, Eton, Windsor, England, UK","['The Rank Organisation', 'Peter Rogers Productions']",,"['Parody', 'Slapstick', 'Comedy', 'Romance']",['English']
155. They Call Me Mister Tibbs!,1970,1h 48m,R,6.0,4.5K,,"In San Francisco, a high-priced call girl is murdered and the case is assigned to Police Lieutenant Virgil Tibbs.",https://www.imdb.com/title/tt0066450/?ref_=sr_i_155,"['Alan Trustman', 'James R. Webb', 'John Ball']",Gordon Douglas,"['Sidney Poitier', 'Martin Landau', 'Barbara McNair', 'Anthony Zerbe', 'Edward Asner', 'Jeff Corey', 'Norma Crane', 'Juano Hernandez', 'David Sheiner', 'Beverly Todd']",,,,"$5,123,000","July 10, 1970",['United States'],"Golden Gate Bridge, San Francisco, California, USA",['The Mirisch Corporation'],,"['Crime', 'Drama', 'Mystery']",['English']
156. Equinox,1970,1h 22m,GP,5.2,3.7K,,"Four friends are attacked by a demon while on a picnic, due to possession of a tome of mystic information. Told in flashbacks by the sole survivor.",https://www.imdb.com/title/tt0067055/?ref_=sr_i_156,"['Edward Connell', 'Barbara Hewitt', 'Frank Bonner']",Jack Woods,"['Edward Connell', 'Barbara Hewitt', 'Frank Bonner', 'Robin Christopher', 'Jack Woods', 'James Phillips', 'Fritz Leiber Jr.', 'Patrick Burke', 'Jim Duron', 'Forrest J. Ackerman']","$6,500 (estimated)",,,,October 1970,['United States'],"Big Tujunga Canyon Road, Angeles National Forest, California, USA",['Tonylyn Productions Inc.'],4 nominations total,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery']",['English']
157. Adam at Six A.M.,1970,1h 40m,R,5.6,446,,"After a relative dies in Missouri, disenchanted California college semantics professor Adam Gaines travels East to attend the funeral, finds a summer job there, falls in love, and sees his life changing before his eyes.",https://www.imdb.com/title/tt0065371/?ref_=sr_i_157,"['Michael Douglas', 'Lee Purcell', 'Joe Don Baker']",Robert Scheerer,"['Michael Douglas', 'Lee Purcell', 'Joe Don Baker', 'Louise Latham', 'Charles Aidman', 'Grayson Hall', 'Marge Redmond', 'Dana Elcar', 'Ed Call', 'Carolyn Conwell']",,,,,"September 22, 1970",['United States'],"Excelsior Springs, Missouri, USA","['Cinema Center Films', 'Solar Productions']",,['Drama'],['English']
158. The Looking Glass War,1970,1h 48m,M/PG,5.8,1.5K,,From the John le Carré novel about a British spy who sends a Polish defector to East Germany to verify missile sites.,https://www.imdb.com/title/tt0066001/?ref_=sr_i_158,"['John le Carré', 'Frank Pierson']",Frank Pierson,"['Christopher Jones', 'Pia Degermark', 'Ralph Richardson', 'Paul Rogers', 'Anthony Hopkins', 'Susan George', 'Ray McAnally', 'Robert Urquhart', 'Anna Massey', 'Vivian Pickles']",,,,"$168,000","February 8, 1970",['United Kingdom'],Spain,"['Columbia Pictures', 'Frankovich Productions']",,"['Spy', 'Action', 'Drama', 'Thriller']","['English', 'German']"
159. Scream of the Demon Lover,1970,1h 38m,,5.2,541,,"A young female biochemist travels to a castle seeking employment as a researcher by a wealthy baron, only to be sucked into a web of violence and intrigue.",https://www.imdb.com/title/tt0065905/?ref_=sr_i_159,"['Enrico Colombo', 'María del Carmen Martínez Román', 'José Luis Merino']",José Luis Merino,"['Erna Schürer', 'Carlos Quiney', 'Agostina Belli', 'Cristiana Galloni', 'Antonio Jiménez Escribano', 'Mariano Vidal Molina', 'Enzo Fisichella', 'Ezio Sancrotti', 'Giancarlo Fantini', 'Franco Moraldi']",,,,,"October 8, 1970","['Italy', 'Spain']","Castello di Montechiarugolo, Parma, Emilia-Romagna, Italy","['Hispamer Films', 'Prodimex Film', 'Órbita Films']",,['Horror'],['Italian']
"160. Tell Me That You Love Me, Junie Moon",1970,1h 53m,PG,6.1,1.1K,,"The story of three wildly neurotic characters: A facially disfigured girl, a homosexual paraplegic and an introvert epileptic who, after leaving the hospital, set up housekeeping together in a cottage where they support each other.",https://www.imdb.com/title/tt0066445/?ref_=sr_i_160,['Marjorie Kellogg'],Otto Preminger,"['Liza Minnelli', 'Ken Howard', 'Robert Moore', 'James Coco', 'Kay Thompson', 'Fred Williamson', 'Pete Seeger', 'Ben Piazza', 'Emily Yancy', 'Leonard Frey']",,,,"$393,483","May 11, 1970",['United States'],"Fort Myers Beach, Florida, USA",['Otto Preminger Films'],1 win & 2 nominations total,"['Comedy', 'Drama', 'Romance']",['English']
161. Pufnstuf,1970,1h 38m,G,6.5,1.3K,,"From the Land of the Lost producers comes a family comedy filled with mirth, magic and music about a little boy named Jimmy and his fantastic adventures with the dragon H. R. Pufnstuf.",https://www.imdb.com/title/tt0066256/?ref_=sr_i_161,"['Jack Wild', 'Billie Hayes', 'Martha Raye']",Hollingsworth Morse,"['Jack Wild', 'Billie Hayes', 'Martha Raye', 'Cass Elliot', 'Billy Barty', 'Jane Dulo', 'Allison McKay', 'Jan Davis', 'Princess Livingston', 'Sharon Baird']",,,,"$296,700","June 15, 1970",['United States'],"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",['Sid and Marty Krofft Enterprises'],,"['Slapstick', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","['English', 'German']"
162. The Horror of Frankenstein,1970,1h 35m,R,5.8,3.1K,40.0,"Brilliant but arrogant scientist Victor Frankenstein builds a man from spare body parts, only for the monster to come alive and wreak havoc.",https://www.imdb.com/title/tt0065851/?ref_=sr_i_162,"['Ralph Bates', ""Kate O'Mara"", 'Veronica Carlson']",Jimmy Sangster,"['Ralph Bates', ""Kate O'Mara"", 'Veronica Carlson', 'Dennis Price', 'David Prowse', 'Jon Finch', 'Bernard Archard', 'Graham James', 'James Hayter', 'Joan Rice']",,,,,"June 17, 1971",['United Kingdom'],"St Mary's Church, North Mymms, Hertfordshire, England, UK","['EMI Films', 'Hammer Films']",,"['Dark Comedy', 'Monster Horror', 'Comedy', 'Horror', 'Sci-Fi']",['English']
163. Dandy,1970,1h 22m,X,4.9,46,,Dandy leaves home at eighteen thinking she will have no trouble making her own way in the world. But she learns that life alone isn't all that easy. Her attempts at modeling lead to ever more compromising situations.,https://www.imdb.com/title/tt0195626/?ref_=sr_i_163,"['Cynthia Denny', 'John Alderman', 'John Vincent']",R. Charleton Wilson,"['Cynthia Denny', 'John Alderman', 'John Vincent', 'Steve Vincent', 'Luanne Roberts', 'David Roya', 'L.L. Cuddles', 'Barbara Peeters', 'Lynn Lyon', 'Alf Wilson']",,,,,"September 30, 1971",['United States'],"Van Nuys, California, USA",['Dynacom Productions Inc.'],,['Drama'],['English']
164. Compañeros,1970,1h 55m,R,7.2,5.2K,,"A Swedish arms dealer and a Mexican peon team up to rescue the intellectual leader of the Revolutionary cause, while taking part in numerous misadventures along the way.",https://www.imdb.com/title/tt0066612/?ref_=sr_i_164,"['Dino Maiuri', 'Massimo De Rita', 'Günter Ebert']",Sergio Corbucci,"['Franco Nero', 'Tomas Milian', 'Fernando Rey', 'Iris Berben', 'José Bódalo', 'Eduardo Fajardo', 'Karin Schubert', 'Gino Pernice', 'Álvaro de Luna', 'Jesús Fernández']",,,,"$20,000",April 1972,"['Italy', 'Spain', 'West Germany']","Almería, Andalucía, Spain","['Tritone Cinematografica', 'Atlántida Films', 'Terra-Filmkunst']",,"['Spaghetti Western', 'Action', 'Comedy', 'Western']","['French', 'English', 'Spanish', 'Italian']"
165. Matinee Wives,1970,1h 33m,,6.0,28,,"Bored suburban wives secretly work as call girls during the day, engaging in sexual encounters with husbands of other housewives, while their Madame oversees the operation, leading to a series of comedic mishaps and escapades.",https://www.imdb.com/title/tt0154853/?ref_=sr_i_165,"['Stephen Treadwell', 'Barbara Mills', 'Robert Cole']",Kendall Stewart,"['Stephen Treadwell', 'Barbara Mills', 'Robert Cole', 'Allessanora', 'Edward Blessington', 'Jeannie Anderson', 'Luanne Roberts', 'Jennie Lynn']",,,,,"December 31, 1971",['United States'],,['Gentlemen II Productions'],,['Drama'],['English']
166. The Tribe,1970,1h 30m,G,7.3,929,,"Marine Corps drill instructor Tom Drake, who is disgusted by the fact that the Corps now accepts draftees, is pitted against drafted, iconoclastic hippie Adrian who refuses to accept the military's way of doing things.",https://www.imdb.com/title/tt0066490/?ref_=sr_i_166,"['Darren McGavin', 'Earl Holliman', 'Jan-Michael Vincent']",Joseph Sargent,"['Darren McGavin', 'Earl Holliman', 'Jan-Michael Vincent', 'John Gruber', 'Danny Goldman', 'Richard Yniguez', 'Antone Curtis', 'Peter Hooten', 'David Buchanan', 'Ric Weaver']",,,,,"November 10, 1970",['United States'],"Marine Corps Recruit Depot San Diego, San Diego, California, USA","['Marvin Schwartz Productions', '20th Century Fox Television']",3 wins & 2 nominations total,['Drama'],['English']
167. The Midnight Graduate,1970,1h 10m,,6.2,40,,"Presents a young woman's odyssey in self discovery, as she finds herself ""among the ladies"" in Los Angeles' steamy sexual underbelly.",https://www.imdb.com/title/tt0154874/?ref_=sr_i_167,"['Uschi Digard', 'Kathy Hilton', 'Sue Peters']",Bob Vosse,"['Uschi Digard', 'Kathy Hilton', 'Sue Peters', 'Jeff Roberts']",,,,,"August 23, 1971",['United States'],"Los Angeles, California, USA",['Venus International Productions'],,"['Drama', 'Romance']",['English']
168. The Wizard of Gore,1970,1h 35m,Not Rated,5.2,4.1K,,A TV talk-show hostess and her boyfriend investigate a shady magician who has the ability to hypnotize and control the thoughts of people in order to stage gory on-stage illusions using his powers of mind bending.,https://www.imdb.com/title/tt0066578/?ref_=sr_i_168,"['Ray Sager', 'Judy Cler', 'Wayne Ratay']",Herschell Gordon Lewis,"['Ray Sager', 'Judy Cler', 'Wayne Ratay', 'Phil Laurenson', 'Jim Rau', 'Don Alexander', 'John Elliot', 'Karin Alexana', 'Jack Gilbreth', 'Corinne Kirkin']","$60,000 (estimated)",,,,"October 23, 1970",['United States'],"Chicago, Illinois, USA",['Mayflower Pictures'],1 nomination total,"['B-Horror', 'Splatter Horror', 'Horror']",['English']
169. Threesome,1970,1h 30m,R,5.6,28,,"A fashion designer returns to Denmark with his American wife, who is leery of the excesses of female nudity and the relaxed moral standards of the country. A visit to a psychiatrist reveals feelings of latent lesbianism.",https://www.imdb.com/title/tt0127939/?ref_=sr_i_169,"['Judith Brown', 'Jørgen Kiil', 'Marianne Tholsted']",Brandon Chase,"['Judith Brown', 'Jørgen Kiil', 'Marianne Tholsted', 'Finn Storgaard', 'Jørgen Weel', 'Lotte Horne', 'Poul Glargaard', 'Kjeld Nørgaard', 'Erni Arneson', 'Robert Gilston']",,,,"$776,192","February 16, 1973","['Denmark', 'United States']","Copenhagen, Denmark",['V.I. Productions'],,['Drama'],"['English', 'Danish']"
170. Pippi on the Run,1970,1h 34m,G,6.8,4.2K,,"Fed up with their strict parents, Tommy and Annika run away from home, with their friend Pippi Longstocking to look after them in their long trek.",https://www.imdb.com/title/tt0066265/?ref_=sr_i_170,"['Astrid Lindgren', 'Fred Ladd']",Olle Hellbom,"['Inger Nilsson', 'Maria Persson', 'Pär Sundberg', 'Hans Alfredson', 'Benno Sterzenbach', 'Öllegård Wellton', 'Walter Richter', 'Fredrik Ohlsson', 'Kurt Zips', 'Bunting']",,,,,1977,"['Sweden', 'West Germany']","Stenhamra, Ekerö, Stockholms län, Sweden","['Iduna Film Produktiongesellschaft', 'Nord Art', 'Svensk Filmindustri (SF)']",,"['Adventure', 'Comedy', 'Drama', 'Family']",['Swedish']
171. The Notorious Cleopatra,1970,1h 28m,,3.9,247,,The story of egyptian princess Cleopatra's amorous adventures.,https://www.imdb.com/title/tt0145132/?ref_=sr_i_171,"['Loray White', 'Johnny Rocco', 'Jay Edwards']",Peter Perry Jr.,"['Loray White', 'Johnny Rocco', 'Jay Edwards', 'Dixie Donovan', 'John Vincent', 'Christopher Stone', 'Michael Cheal', 'Ronald South', 'Woody Lee', 'Larry Martinelli']",,,,,"June 12, 1970",['United States'],,['Global Pictures'],,"['Parody', 'Slapstick', 'Comedy', 'Drama']",['English']
172. C.C. & Company,1970,1h 34m,R,4.8,1.1K,,A motorcycle rebel saves a woman from his gang and fights an outlaw guru for supremacy.,https://www.imdb.com/title/tt0065511/?ref_=sr_i_172,"['Joe Namath', 'Ann-Margret', 'William Smith']",Seymour Robbie,"['Joe Namath', 'Ann-Margret', 'William Smith', 'Jennifer Billingsley', 'Mike Battle', 'Greg Mullavey', 'Teda Bracci', 'Don Chastain', 'Sid Haig', 'Bruce Glover']",,,,,"June 20, 1971",['United States'],"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA","['Namanco Productions', 'Rogallan Productions']",,"['Action', 'Comedy', 'Drama']",['English']
173. Trash,1970,1h 50m,R,6.1,2.9K,,"During the course of a day, a heroin addict overdoses in front of an upper-class couple, attempts to fool welfare by having his girlfriend fake a pregnancy, and frustrates the women in his life with his drug-induced impotence.",https://www.imdb.com/title/tt0066482/?ref_=sr_i_173,"['Joe Dallesandro', 'Holly Woodlawn', 'Geri Miller']",Paul Morrissey,"['Joe Dallesandro', 'Holly Woodlawn', 'Geri Miller', 'Andrea Feldman', 'John Putnam', 'Jane Forth', 'Bruce Pecheur', 'Diane Podel', ""Roberto D'Alessandro"", 'Michael Sklar']","$25,000 (estimated)",,,,"February 18, 1971",['United States'],"New York City, New York, USA",['Filmfactory'],1 win total,['Drama'],['English']
174. The Butcher,1970,1h 33m,Unrated,7.3,9.6K,,"An unlikely friendship between a dour, working class butcher and a repressed schoolteacher coincides with a grisly series of Ripper-type murders in a provincial French town.",https://www.imdb.com/title/tt0064106/?ref_=sr_i_174,"['Stéphane Audran', 'Jean Yanne', 'Antonio Passalia']",Claude Chabrol,"['Stéphane Audran', 'Jean Yanne', 'Antonio Passalia', 'Pascal Ferone', 'Mario Beccara', 'William Guérault', 'Roger Rudel']",,,,"$474,458","December 19, 1971","['France', 'Italy']","Trémolat, Dordogne, France","['Les Films de la Boétie', 'Euro International Films']",2 wins & 1 nomination total,"['Tragedy', 'Drama', 'Mystery', 'Thriller']",['French']
175. Diamond Stud,1970,1h 22m,X,4.5,44,,"A dramatization about the successful ""two-bit chiseling son-of-a-bitch"" railroad entrepreneur 'Diamond Jim' Brady. He rides his personal train around the country, smoking cigars, having love affairs and eating too much food.",https://www.imdb.com/title/tt0135911/?ref_=sr_i_175,"['Robert Hall', 'John Alderman', 'Monika Henreid']",Greg Corarito,"['Robert Hall', 'John Alderman', 'Monika Henreid', 'Vicki Carbe', 'Michael Greer', 'Ann Dee', 'Richard Compton', 'Richard Kling', 'Julie Conners', 'Delbert']",,,,,"January 16, 1970",['United States'],"Spahn Ranch, Chatsworth, Los Angeles, California, USA",,,"['Drama', 'Romance']",['English']
176. Hornets' Nest,1970,1h 50m,R,5.7,1.2K,,"In 1944, during a sabotage mission, the sole surviving U.S. paratrooper is saved by a group of Italian orphans who later aid him in blowing up a vital enemy dam.",https://www.imdb.com/title/tt0065850/?ref_=sr_i_176,"['S.S. Schweitzer', 'Stanley Colbert']",Phil Karlson,"['Rock Hudson', 'Sylva Koscina', 'Sergio Fantoni', 'Giacomo Rossi Stuart', 'Jacques Sernas', 'Mark Colleano', 'Mauro Gravina', 'John Fordyce', 'Giuseppe Cassuto', 'Amedeo Castracane']",,,,,"September 9, 1970","['Italy', 'United States']","Gazzola, Provincia di Piacenza, Emilia-Romagna, Italy","['Produzioni Associate Delphos', 'Triangle Productions']",,"['Action', 'Drama', 'War']","['English', 'German', 'Italian']"
177. Even Dwarfs Started Small,1970,1h 36m,Not Rated,6.7,6.4K,,A group of dwarfs at a correctional facility erupt in anarchy.,https://www.imdb.com/title/tt0065436/?ref_=sr_i_177,"['Helmut Döring', 'Paul Glauer', 'Gisela Hertwig']",Werner Herzog,"['Helmut Döring', 'Paul Glauer', 'Gisela Hertwig', 'Hertel Minkner', 'Gertrud Piccini', 'Marianne Saar', 'Brigitte Saar', 'Gerd Gickel', 'Erna Gschwendtner', 'Gerhard Maerz']","$200,000 (estimated)",,,,"February 2, 1971",['West Germany'],"Lanzarote, Canary Islands, Spain",['Werner Herzog Filmproduktion'],,"['Dark Comedy', 'Comedy', 'Drama']",['German']
178. The Cross and the Switchblade,1970,1h 46m,PG,6.0,1.3K,,"Long before faith-based films became a regular feature of mainstream movie theaters, there was ""The Cross and The Switchblade,"" the story of Pastor David Wilkerson and gang member Nicky Cruz.",https://www.imdb.com/title/tt0068428/?ref_=sr_i_178,"['Don Murray', 'James Bonnet', 'Elizabeth Sherrill']",Don Murray,"['Pat Boone', 'Erik Estrada', 'Jacqueline Giroux', 'Jo-Ann Robinson', 'Dino DeFilippi', 'Don Blakely', 'Gil Frazier', 'Don Lamond', 'Sam Capuano', 'Alex Colon']",,,,"$414,754",June 1970,['United States'],"New York City, New York, USA","['Dick Ross Productions', 'Gateway Films', 'Responsible Entertainment']",,"['Biography', 'Crime', 'Drama']","['English', 'Spanish']"
179. Five Dolls for an August Moon,1970,1h 22m,Not Rated,5.7,3.6K,,"An industrialist invites his colleagues to his private island so they can exploit a resin formula invented by one of the guests, but a killer within the group disrupts the proceedings.",https://www.imdb.com/title/tt0065553/?ref_=sr_i_179,"['William Berger', 'Ira von Fürstenberg', 'Edwige Fenech']",Mario Bava,"['William Berger', 'Ira von Fürstenberg', 'Edwige Fenech', 'Howard Ross', 'Helena Ronee', 'Teodoro Corrà', 'Ely Galleani', 'Edith Meloni', 'Mauro Bosco', 'Maurice Poli']",,,,,"November 25, 1970",['Italy'],"Anzio, Rome, Lazio, Italy",['Produzioni Atlas Consorziate (P.A.C.)'],1 win total,"['Psychological Thriller', 'Crime', 'Horror', 'Mystery', 'Thriller']",['Italian']
